id;description;time_sent;token_value;received;actioned;content_fully_enqueued
1;National;62443;Tasty envisioneer Cotton;true;false;false
2;invoice Awesome Drive;54941;grey homogeneous;false;true;true
3;RAM Health;37083;e-business;false;true;true
4;back-end Director Customer;96701;program product;true;false;true
5;Fresh eyeballs;73817;Lithuania cross-platform Operations;false;true;false
6;Personal Loan Account Nuevo Sol Pizza;91197;architecture Berkshire;true;true;true
7;Puerto Rico quantify;83869;Sleek HTTP;true;false;false
8;Checking Account;84047;Generic intangible overriding;false;false;true
9;green parse;7121;fuchsia application Generic;true;true;false
10;California Practical Soft Towels Nuevo Sol;99104;complexity Home Loan Account;false;true;false
